Line,Total_Flux,Total_Luminosity
H1_6562.80A,5.1890462996271346e+42,2.788580587945473e+112
O1_1304.86A,5.13051602590772e+34,1.820114687775638e+90
O1_6300.30A,8.398073690135508e+36,3.0490937177888916e+92
O2_3728.80A,1.445307112602532e+37,8.330111815375801e+92
O2_3726.10A,2.645605229677267e+37,6.064874830293032e+92
O3_1660.81A,7.609348442388442e+35,2.195204855636346e+90
O3_1666.15A,2.2284170286228837e+36,6.428665910647242e+90
O3_4363.21A,8.756333174869698e+35,2.5797590203554217e+90
O3_4958.91A,8.34803986147472e+36,2.7529749038023432e+91
O3_5006.84A,2.4907174062099898e+37,8.213754688812683e+91
He2_1640.41A,1.4254086722599764e+38,1.5444704030496752e+104
C2_1335.66A,4.187354124581641e+35,6.449591731640374e+90
C3_1906.68A,1.3738911794514994e+37,6.617071295103957e+91
C3_1908.73A,1.1674005577191666e+37,4.480010483757141e+91
C4_1549.00A,3.985881378576701e+29,7.319398709397455e+85
Mg2_2795.53A,3.539177277829656e+37,8.964039205916612e+92
Mg2_2802.71A,1.7879309071742717e+37,4.534869906720808e+92
Ne3_3868.76A,5.2535509229934154e+35,1.5575276031598893e+90
Ne3_3967.47A,1.5945324376030361e+35,4.7273450577202874e+89
N5_1238.82A,9.1928354191923e+32,1.6926173963995642e+89
N5_1242.80A,4.5861015696870915e+32,8.444177551798461e+88
N4_1486.50A,9.815149740533653e+32,2.2464290463039176e+88
N3_1749.67A,1.1849629873646224e+36,3.4292354776907677e+90
S2_6716.44A,8.41942572872346e+36,9.513270193263962e+92
S2_6730.82A,1.2807198024904884e+37,6.97538764533232e+92
